PRODNUMB,ST_CODENUM,QTY
1,7,1
1,8,1
1,26,1
1,28,1
1,37,1
1,41,1
1,53,1
2,7,1
2,8,1
2,26,1
2,28,1
2,37,1
2,41,1
2,53,2
3,7,1
3,8,1
3,9,1
3,26,1
3,28,1
3,37,1
3,41,1
3,53,1
4,7,1
4,8,1
4,9,1
4,26,1
4,28,1
4,37,1
4,41,1
4,53,2
5,7,1
5,8,1
5,26,1
5,28,1
5,35,1
5,53,1
6,7,1
6,8,1
6,26,1
6,28,1
6,35,1
6,53,2
7,7,1
7,8,1
7,26,1
7,27,1
7,28,1
7,36,1
7,44,1
7,53,1
8,7,1
8,8,1
8,26,1
8,27,1
8,28,1
8,36,1
8,44,1
8,53,2
9,7,1
9,8,1
9,26,1
9,27,1
9,28,1
9,36,0.5
9,46,1
9,53,1
9,79,1
10,7,1
10,8,1
10,26,1
10,27,1
10,28,1
10,36,0.8
10,46,1
10,53,2
10,79,1
11,7,1
11,8,1
11,26,1
11,27,1
11,28,1
11,29,0.001
11,35,0.001
11,36,1
11,37,0.001
11,56,1
11,63,1
12,26,0.01
12,27,0.01
12,28,0.01
12,29,0.01
12,35,0.01
12,36,0.01
12,37,0.01
12,41,0.01
12,44,0.01
12,53,-1
12,55,-1
12,63,1
13,7,1
13,8,1
13,37,1.25
13,53,1
14,53,1
15,7,1
15,8,1
15,26,1
15,27,1
15,28,1
15,29,1
15,36,1
15,53,1
16,7,1
16,8,1
16,26,1
16,27,1
16,28,1
16,29,1
16,36,1
16,53,2
17,7,1
17,8,1
17,9,1
17,26,1
17,28,1
17,33,1
17,37,1
17,53,1
18,7,1
18,8,1
18,9,1
18,26,1
18,28,1
18,33,1
18,37,1
18,53,2
19,2,1
19,7,1
19,8,1
19,26,1
19,27,1
19,29,0.001
19,36,1
19,37,0.001
19,56,1
20,7,1
20,8,1
20,9,1
20,26,1
20,27,1
20,28,1
20,36,1
20,44,1
20,53,1
21,7,1
21,8,1
21,9,1
21,26,1
21,27,1
21,28,1
21,36,1
21,44,1
21,53,2
22,7,1
22,8,1
22,9,1
22,26,1
22,28,1
22,40,1
22,53,1
23,7,1
23,8,1
23,9,1
23,26,1
23,28,1
23,35,1
23,53,2
24,2,1
24,7,1
24,8,1
24,10,1
24,26,1
24,36,0.5
24,56,1
25,7,1
25,8,1
25,9,1
25,10,1
25,26,1
25,28,1
25,37,1
25,53,1
25,56,0.25
25,80,0.25
26,37,1.2
27,36,1.2
28,35,1.2
29,29,1.2
29,36,1.2
30,5,1
30,6,1
30,14,1
30,56,1
30,57,1.1
30,58,1
30,93,1
30,96,1
31,5,1.3
31,6,1.3
31,14,1.3
31,56,1.3
31,57,1.3
31,58,1.3
31,93,1.3
31,96,1.3
32,2,1
32,7,1
32,8,1
32,9,1
32,26,1
32,27,1
32,29,0.001
32,36,1
32,56,1
33,2,1
33,56,1
34,56,1
34,63,1
35,7,1
35,8,1
35,9,1
35,37,1
35,53,1
36,10,1
36,56,0.25
37,29,1
37,36,1
38,33,1
39,45,1.2
40,37,1
41,36,1
42,35,1
44,7,1
44,8,1
44,9,2
44,26,2
44,27,2
44,28,1
44,29,0.001
44,35,0.001
44,36,1
44,44,1
45,9,1
47,36,0.8
47,46,1
47,79,1
48,2,1
48,7,1
48,8,1
48,26,1
48,35,0.5
48,36,0.5
48,56,1
49,16,1
49,20,1
50,16,1.55
50,20,1.55
51,21,1
52,23,1
53,22,1
54,7,1
54,8,1
54,9,1
54,10,1
54,26,1
54,28,1
54,37,1
54,53,2
54,56,0.25
