PRODNUMB,PRODNAME,GROUP_ID,GROUP_SUB_ID,MEAL_ID,MEAL_SUB_ID,DOUBLE_PDNUMB,TRIPLE_PDNUMB
1,HAMBURGER,4,4,1,1,2,0
2,DBL HAMBURGER,0,0,0,0,0,0
3,CHEESEBURGER,4,5,1,2,4,171
4,DBL CHEESEBURGR,0,0,0,0,0,0
5,CHILLIBURGER,4,6,1,3,6,0
6,DBL CHILLIBURGER,0,0,0,0,0,0
7,ORIGINAL,4,7,1,4,8,0
8,DBL ORIGINAL,0,0,0,0,0,0
9,BLUECHEESE BGR,4,13,1,10,10,0
10,DBL BLUE CHSEBGR,0,0,0,0,0,0
11,VEGGIE BURGER,6,3,1,25,0,0
12,  VEGGIE instead,0,0,0,0,0,0
13,KIDS HAMBURGER,4,2,2,1,0,0
14,  XTR MEAT,0,1,0,0,0,0
15,GARLIC BURGER,4,8,1,5,16,0
16,DBL GARLIC BGR,0,0,0,0,0,0
17,HAWAIIAN BURGER,4,11,1,8,18,0
18,DBL HAWAIIAN BGR,0,0,0,0,0,0
19,CHICKEN SAMWICH,5,1,1,14,0,0
20,ALLSTAR BURGER,4,10,1,7,21,172
21,DBL ALLSTAR BGR,0,0,0,0,0,0
22,1000 ISLAND BGR,4,9,1,6,105,0
23,DBL CHILI n CHSE,4,15,1,12,0,0
24,XMAS CHICKN SAMW,5,9,1,22,0,0
25,BACON CHEESE BGR,4,14,1,11,54,173
26,  DIP KETCHUP,9,1,0,0,0,0
27,  DIP MAYO,9,2,0,0,0,0
28,  DIP CHILLI,9,5,0,0,0,0
29,  DIP GARLC MAYO,9,6,0,0,0,0
30,REGULAR FRIES,7,1,0,0,0,0
31,LARGE FRIES,7,2,0,0,0,0
32,CHICKEN ALLSTAR,5,5,1,18,0,0
33,  XTR CHICkN,0,0,0,0,0,0
34,  XTR VEGGIE,0,0,0,0,0,0
35,KIDS CHEESE-BGR,4,1,2,2,0,0
36,  XTR BACON,0,0,0,0,0,0
37,  XTR GARLIC MAY,0,0,0,0,0,0
38,  XTR PINAPL,0,0,0,0,0,0
39,  DIP BBQ,9,3,0,0,0,0
40,  XTR KETCH,0,0,0,0,0,0
41,  XTR MAYO,0,0,0,0,0,0
42,  XTR CHILLI,0,0,0,0,0,0
43,  XTR MISC 25p ,0,0,0,0,0,0
44,VEGIE SALAD SAMW,6,1,0,0,0,0
45,  XTR CHEEZ,0,0,0,0,0,0
46,  XTR MISC 10p,0,0,0,0,0,0
47,  XTR BLUE,0,0,0,0,0,0
48,CHICKEN CHILLI,5,2,1,15,0,0
49,COLA,8,6,0,0,50,0
50,LRG COLA,8,29,0,0,0,0
51,COKE CLASSIC CAN,8,28,0,0,99,0
52,TANGO CAN,8,27,0,0,0,0
53,DIET COKE CAN,8,26,0,0,0,0
54,DBL BACON CHEESE,0,0,0,0,0,0
55,OUR BIGGEST BGR,4,16,1,13,0,0
56,FIZZY ORANGE,8,25,0,0,57,0
57,LRG ORANGE,8,24,0,0,0,0
58,DIET COLA,8,23,0,0,138,0
59,LGR DIET COLA,8,22,0,0,0,0
60,BANANA SHAKE,8,21,0,0,66,0
61,CHOCOLATE SHAKE,8,20,0,0,67,0
62,STRAWBERRY SHK,8,19,0,0,68,0
64,VEGGIE BACN SAM,6,2,0,0,0,0
65,TEXAN BURGER,4,12,1,9,113,0
66,BANANA SHK LARGE,8,18,0,0,0,0
67,CHOC SHK LARGE,8,17,0,0,0,0
68,STRAW SHK LARGE,8,1,0,0,0,0
69,VANILLA SHAKE,8,15,0,0,70,0
70,VANILLA SK LARGE,8,30,0,0,0,0
71,SIX  BITES,5,10,1,23,0,0
72,NINE BITES,5,11,1,24,0,0
73,FRIES Lrg Go Lrg,0,0,0,0,0,0
74,HALLOUMI STICKS,7,3,0,0,0,0
75,7UP LEMON CAN,8,13,0,0,0,0
76,CHOC SHKE KIDS,8,62,0,0,0,0
77,BLT SAMWICH,0,0,0,0,0,0
78,CHICKEN EL FUEGO,5,7,1,20,0,0
79,Pepper Burger,0,0,0,0,0,0
80,MUSHROOM,0,0,0,0,0,0
81,HOT APPLE PIE,7,4,0,0,0,0
82,ONION RINGS 8,7,5,0,0,0,0
83,BEAN BURGER,6,4,1,26,0,0
84,BANANA SHKE KIDS,8,12,0,0,0,0
85,STRAWB SHKE KIDS,8,67,0,0,0,0
86,VANILLA SHK KIDS,8,66,0,0,0,0
87,COFFEE     165,8,11,0,0,0,0
89,COLA KIDS,8,65,0,0,0,0
90,CHICKEN BACN CHS,5,8,1,21,0,0
91,BOTTLED WATER,8,10,0,0,0,0
92,VEGGIE DE-LUXE,6,5,1,27,0,0
93,KIDS WATER,8,63,0,0,0,0
94,CHICKEN WRAP,5,3,1,17,0,0
95,MOZARELA FINGERS,7,7,0,0,0,0
96,VEGGIE BAC SAMpk,0,0,0,0,0,0
97,  XTR BEAN PATTY,0,0,0,0,0,0
98,FZY ORANGE KIDS,8,61,0,0,0,0
99,CLASSIC COKE 500,8,9,0,0,0,0
100,  XTR BBQ,0,0,0,0,0,0
101,  DIP 1000 ISLE,9,4,0,0,0,0
102,ONION RINGS 12,7,6,0,0,0,0
103,VEGG  SLD SAM PK,0,0,0,0,0,0
104,  DIP BLUECHEESE,9,7,0,0,0,0
105,DBL 1000 ISL BGR,0,0,0,0,0,0
106,ONION RINGS 20,0,0,0,0,0,0
107,  XTR VGBACN,0,0,0,0,0,0
108,PLATTER 2nd dip,0,0,0,0,0,0
109,  XTR 1000,0,0,0,0,0,0
110,  DIP NONE,0,0,0,0,0,0
111,  XTR NONE,0,0,0,0,0,0
112,DIET COLA KIDS,8,68,0,0,0,0
113,DBL TEXAN BURGER,0,0,0,0,0,0
115,CHICKN BBQ TEXAN,5,6,1,19,0,0
118,KIDS  4  BITES  ,4,3,2,3,0,0
121,FIZZY LEMON,8,8,0,0,0,0
122,LEMON LARGE,8,7,0,0,0,0
123,FZY LEMON KIDS,8,64,0,0,0,0
124,7UP LEMON 500m,8,32,0,0,0,0
125,TANGO ORANGE 500,8,5,0,0,0,0
126,EXPRESSO     200,8,42,0,0,0,0
128,MILKY COFFEE 175,8,16,0,0,0,0
130,CAPPUCCINO   200,8,3,0,0,0,0
132,LATTE        200,8,2,0,0,0,0
133,TEA         165,8,14,0,0,0,0
134,HOT CHOC     175,8,58,0,0,0,0
136,  CHILLI  tub,7,8,0,0,0,0
138,DIET COKE 500ml,8,51,0,0,0,0
145,Voucher  FF  Reg,0,0,0,0,0,0
146,TOFFEE SHAKE,8,52,0,0,0,0
147,TOFFEE SK LARGE,8,53,0,0,0,0
148,TOFFEE SHK KIDS,8,54,0,0,0,0
149,AMERICANO    200,8,55,0,0,0,0
151,CARDEN TEA   195,8,43,0,0,0,0
160,Delivery Chr 50p,0,0,0,0,0,0
166,DELIVERY £2.50 ,0,0,0,0,0,0
171,TRPL CHEESEBRGR,0,0,0,0,0,0
172,TRPL ALLSTAR BRG,0,0,0,0,0,0
173,TRPL BACON CHEES,0,0,0,0,0,0
175,VEGAN MUSHROOM B,0,0,0,0,0,0
176,VEGAN BEAN BRGR,0,0,0,0,0,0
190,KIDS D COKE CAN,8,44,0,0,0,0
191,KIDS FRT-SH ORNG,8,45,0,0,0,0
192,KIDS TANGO CAN,8,46,0,0,0,0
193,KIDS 7UP CAN,8,47,0,0,0,0
194,KID FRT-SH A-BLC,8,48,0,0,0,0
195,KIDS CLASIC COKE,8,4,0,0,0,0
197,CHICKEN 3 STRIPS,5,12,0,0,0,0
198,CHICKEN 5 STRIPS,5,13,0,0,0,0
199,CHICKEN 8 STRIPS,5,14,0,0,0,0
200,SUPER SHAKE OREO,8,56,0,0,0,0
201,SUPER SHK BISCOF,8,57,0,0,0,0
202,SUPER SHKE FLAKE,8,50,0,0,0,0
203,SUPER SHK SMARTI,8,59,0,0,0,0
204,SUPR SHK KITKAT,8,60,0,0,0,0
205,SPR TOFFE CRUNCH,8,41,0,0,0,0
206,SPR CREAM EGG,8,39,0,0,0,0
207,SUPER MINT AERO,8,33,0,0,0,0
208,SUPER CHOC ORANG,0,0,0,0,0,0
209,GUEST SUPERSHAKE,0,0,0,0,0,0
210,SUPER SHK ORE XL,8,34,0,0,0,0
211,SPR SHK LOTUS XL,8,35,0,0,0,0
212,SUP SHK FLAKE XL,8,36,0,0,0,0
213,SPR SHK SMART XL,8,37,0,0,0,0
214,SPR SH KITKAT XL,8,38,0,0,0,0
215,SPR TOF CRNCH XL,8,49,0,0,0,0
216,SPR CREAM EGG XL,8,40,0,0,0,0
217,SPR MINT AERO XL,8,31,0,0,0,0
260,SINGLE CONE,0,0,0,0,0,0
261,DOUBLE CONE,0,0,0,0,0,0
265,300ml TUB,0,0,0,0,0,0
266,600ml TUB,0,0,0,0,0,0
270,FLAKE STICK,0,0,0,0,0,0
280,ICE CREAM TRAY,0,0,0,0,0,0
301,CRUNCHIE BROWNIE,0,10,0,0,0,0
302,KINDER BU BROWNE,0,11,0,0,0,0
303,LOTUS BIS BROWNE,0,12,0,0,0,0
304,MNT AERO BROWNIE,0,13,0,0,0,0
305,SNICKERS BROWNIE,0,14,0,0,0,0
