PRODNUMB,ST_CODENUM,QTY
1,1,0.4
1,2,0.2
1,5,1
1,6,1
2,1,0.4
2,2,0.2
2,5,1
2,6,1
3,1,0.4
3,2,0.2
3,4,0.15
3,5,1.75
3,8,1
3,47,0.4
4,1,0.4
4,2,0.2
4,4,0.2
4,5,1.75
4,8,1
4,47,0.1
5,1,0.4
5,2,0.2
5,5,1.75
5,10,1
6,1,0.4
6,2,0.2
6,5,1.75
6,10,1
7,1,0.4
7,2,0.2
7,5,1.75
7,17,1
8,1,0.4
8,2,0.2
8,5,1.75
8,17,1
9,1,0.4
9,2,0.2
9,5,1.75
9,19,1
10,1,0.4
10,2,0.2
10,5,1.75
10,19,1
11,1,0.4
11,2,0.2
11,5,1.75
11,15,1
12,15,0
13,1,1
13,5,1.75
13,6,1
15,1,0.4
15,2,0.2
15,5,1.75
15,19,1
16,1,0.4
16,2,0.2
16,5,1.75
16,19,1
17,1,0.4
17,2,0.2
17,5,1.75
17,19,1
18,1,0.4
18,2,0.2
18,5,1.75
18,19,1
19,1,0.4
19,2,0.2
19,5,1.75
19,13,1
20,1,0.4
20,2,0.2
20,5,1.75
20,17,1
21,1,0.4
21,2,0.2
21,5,1.75
21,17,1
22,1,0.4
22,2,0.2
22,5,1.75
22,19,1
23,1,0.4
23,2,0.2
23,5,1.75
23,10,1
23,47,0.1
24,1,0.4
24,2,0.2
24,5,1.75
24,13,1
25,1,0.4
25,2,0.2
25,5,1.75
25,14,1
25,47,0.1
26,44,1
26,45,1
27,44,1
27,45,1
28,44,1
28,45,1
29,44,1
29,45,1
30,1,0.25
30,5,1
30,20,1
30,21,1
31,1,0.25
31,5,1
31,16,0.5
31,22,1
31,23,1
32,1,0.4
32,2,0.2
32,5,1.75
32,13,1
35,1,1
35,5,1
35,6,1
39,44,1
39,45,1
44,1,0.58
44,5,1.75
44,15,1
48,1,0.4
48,2,0.2
48,5,1.75
48,13,1
49,2,0.05
49,30,1
49,33,1
49,40,1
50,2,0.05
50,35,1
50,36,1
50,40,1
54,1,0.4
54,2,0.2
54,5,1.75
54,14,1
55,1,0.4
55,2,0.2
55,5,1.75
55,18,1.04
56,2,0.05
56,30,1
56,33,1
56,40,1
57,2,0.05
57,35,1
57,36,1
57,40,1
58,2,0.05
58,30,1
58,33,1
58,40,1
59,2,0.05
59,35,1
59,36,1
59,40,1
60,2,0.05
60,30,1
60,33,1
60,40,1
61,2,0.05
61,30,1
61,33,1
61,40,1
62,2,0.05
62,30,1
62,33,1
62,40,1
64,1,0.58
64,5,1.75
64,15,1
65,1,0.4
65,2,0.2
65,5,1.75
65,19,1
66,2,0.05
66,35,1
66,36,1
66,40,1
67,2,0.05
67,35,1
67,36,1
67,40,1
68,2,0.05
68,35,1
68,36,1
68,40,1
69,2,0.05
69,30,1
69,33,1
69,40,1
70,2,0.05
70,35,1
70,36,1
70,40,1
71,1,1
71,5,1.75
71,11,1.2
71,16,1
72,1,1
72,5,1.75
72,11,1.2
72,16,1
74,5,1
74,11,5
76,30,1
76,32,1
76,40,1
77,1,0.58
77,5,1.75
77,14,1
78,1,0.4
78,2,0.2
78,5,1.75
78,13,1
79,1,0.4
79,2,0.2
79,5,1.75
79,19,1
80,5,1
80,16,1
81,5,1
82,5,1
82,11,1.2
82,16,1
83,1,0.4
83,2,0.2
83,5,1.75
83,15,1
84,30,1
84,32,1
84,40,1
85,30,1
85,32,1
85,40,1
86,30,1
86,32,1
86,40,1
87,38,1
87,39,1
89,30,1
89,32,1
89,40,1
90,1,0.4
90,2,0.2
90,5,1.75
90,13,1
92,1,0.4
92,2,0.2
92,5,1.75
92,15,1
94,1,0.4
94,2,0.2
94,5,1.75
94,26,1
95,5,1
95,11,1.2
95,16,1
96,1,0.58
96,5,1.75
96,15,1
98,30,1
98,32,1
98,40,1
101,44,1
101,45,1
102,5,1
102,11,1.2
102,16,1
103,1,0.58
103,5,1.75
103,15,1
104,44,1
104,45,1
105,1,0.4
105,2,0.2
105,5,1.75
105,19,1
108,4,1
108,5,1
108,24,1
112,30,1
112,32,1
112,40,1
113,1,0.4
113,2,0.2
113,5,1.75
113,19,1
115,1,0.4
115,2,0.2
115,5,1
115,13,1
118,5,1.75
118,11,1
118,16,1
121,2,0.05
121,30,1
121,33,1
121,40,1
122,2,0.05
122,35,1
122,36,1
122,40,1
123,30,1
123,32,1
123,40,1
126,38,1
126,39,1
128,38,1
128,39,1
130,38,1
130,39,1
132,38,1
132,39,1
133,38,1
133,39,1
134,38,1
134,39,1
136,30,1
136,32,1
146,2,0.05
146,30,1
146,33,1
146,40,1
147,2,0.05
147,35,1
147,36,1
147,40,1
148,30,1
148,32,1
148,40,1
149,38,1
149,39,1
171,1,0.5
171,2,0.5
171,4,3
171,5,1.75
171,18,1
171,47,0.1
172,1,0.5
172,2,0.5
172,5,1.75
172,18,1
172,47,0.1
173,1,0.5
173,2,0.5
173,5,1.75
173,18,1
173,47,0.1
175,1,1
175,2,0.5
175,5,1
175,15,1
176,1,1
176,2,0.5
176,5,1
176,15,1
197,1,0.58
197,5,1.75
197,11,1
198,1,0.58
198,5,1.75
198,11,1
199,1,0.58
199,5,1.75
199,11,1
200,2,0.5
200,40,1
200,100,1
200,110,1
201,2,0.5
201,40,1
201,100,1
201,110,1
202,2,0.5
202,40,1
202,100,1
202,110,1
203,2,0.5
203,40,1
203,100,1
203,110,1
204,2,0.5
204,40,1
