PRODNUMB,PRODNAME,ADD_ONS
1,HAMBURGER,"37,38,41"
2,DBL HAMBURGER,"37,38,41"
3,CHEESEBURGER,"37,38,41"
4,DBL CHEESEBURGR,"37,38,41"
5,CHILLIBURGER,"36,38,45"
6,DBL CHILLIBURGER,"36,38,45"
7,ORIGINAL,"36,37,38,42"
8,DBL ORIGINAL,"36,37,38,42"
9,BLUECHEESE BGR,"36,37,42"
10,DBL BLUE CHSEBGR,"36,37,42"
11,VEGGIE BURGER,"37,107"
12,VEGGIE instead,
13,KIDS HAMBURGER,
14,XTR MEAT,
15,GARLIC BURGER,
16,DBL GARLIC BGR,
17,HAWAIIAN BURGER,"37,42"
18,DBL HAWAIIAN BGR,"37,42"
19,CHICKEN SAMWICH,"38,42,45"
20,ALLSTAR BURGER,"36,42"
21,DBL ALLSTAR BGR,"36,42"
22,1000 ISLAND BGR,"36,37,42"
23,DBL CHILI n CHSE,"36,37"
24,XMAS CHICKN SAMW,
25,BACON CHEESE BGR,"37,42"
26,DIP KETCHUP,
27,DIP MAYO,
28,DIP CHILLI,
29,DIP GARLC MAYO,
30,REGULAR FRIES,
31,LARGE FRIES,
32,CHICKEN ALLSTAR,36
33,XTR CHICkN,
34,XTR VEGGIE,
35,KIDS CHEESE-BGR,
36,XTR BACON,
37,XTR GARLIC MAY,
38,XTR PINAPL,
39,DIP BBQ,
40,XTR KETCH,
41,XTR MAYO,
42,XTR CHILLI,
43,  XTR MISC 25p ,
44,VEGGIE SALAD SAMW,
45,XTR CHEEZ,
46,  XTR MISC 10p,
47,XTR BLUE,
48,CHICKEN CHILLI,"36,45"
49,COLA,
50,LRG COLA,
51,COKE CLASSIC CAN,
52,TANGO CAN,
53,DIET COKE CAN,
54,DBL BACON CHEESE,"37,42"
55,OUR BIGGEST BGR,42
56,FIZZY ORANGE,
57,LRG ORANGE,
58,DIET COLA,
59,LGR DIET COLA,
60,BANANA SHAKE,
61,CHOCOLATE SHAKE,
62,STRAWBERRY SHK,
64,VEGGIE BACN SAM,
65,TEXAN BURGER,"36,37,42,45"
66,BANANA SHK LARGE,
67,CHOC SHK LARGE,
68,STRAW SHK LARGE,
69,VANILLA SHAKE,
70,VANILLA SK LARGE,
71,SIX  BITES,
72,NINE BITES,
73,FRIES Lrg Go Lrg,
74,HALLOUMI STICKS,
75,7UP LEMON CAN,
76,CHOC SHKE KIDS,
77,BLT SAMWICH,
78,CHICKEN EL FUEGO,
79,Pepper Burger,
80,MUSHROOM,
81,HOT APPLE PIE,
82,ONION RINGS 8,
83,BEAN BURGER,
84,BANANA SHKE KIDS,
85,STRAWB SHKE KIDS,
86,VANILLA SHK KIDS,
87,COFFEE     165,
89,COLA KIDS,
90,CHICKEN BACN CHS,
91,BOTTLED WATER,
92,VEGGIE DE-LUXE,
93,KIDS WATER,
94,CHICKEN WRAP,
95,MOZARELA FINGERS,
96,VEGGIE BAC SAMpk,
97,XTR BEAN PATTY,
98,FZY ORANGE KIDS,
99,CLASSIC COKE 500,
100,XTR BBQ,
101,DIP 1000 ISLE,
102,ONION RINGS 12,
103,VEGGIE  SALAD SAM PK,
104,DIP BLUECHEESE,
105,DBL 1000 ISL BGR,"36,37,42"
107,XTR VGBACN,
108,PLATTER 2nd dip,
109,XTR 1000,
110,DIP NONE,
111,  XTR NONE,
112,DIET COLA KIDS,
113,DBL TEXAN BURGER,"36,37,42,45"
115,CHICKN BBQ TEXAN,"36,37,42,45"
118,KIDS  4  BITES  ,26
121,FIZZY LEMON,
122,LEMON LARGE,
123,FZY LEMON KIDS,
124,7UP LEMON 500m,
125,TANGO ORANGE 500,
126,EXPRESSO     200,
128,MILKY COFFEE 175,
130,CAPPUCCINO   200,
132,LATTE        200,
133,TEA         165,
134,HOT CHOC     175,
136,CHILLI  tub,
138,DIET COKE 500ml,
145,Voucher  FF  Reg,
146,TOFFEE SHAKE,
147,TOFFEE SK LARGE,
148,TOFFEE SHK KIDS,
149,AMERICANO    200,
151,CARDEN TEA   195,
160,Delivery Chr 50p,
166,DELIVERY  2.50 ,
171,TRPL CHEESEBRGR,"37,38,41"
172,TRPL ALLSTAR BRG,"37,38,41"
173,TRPL BACON CHEES,42
175,VEGAN MUSHROOM B,
176,VEGAN BEAN BRGR,
190,KIDS D COKE CAN,
191,KIDS FRT-SH ORNG,
192,KIDS TANGO CAN,
193,KIDS 7UP CAN,
194,KID FRT-SH A-BLC,
195,KIDS CLASIC COKE,
197,CHICKEN 3 STRIPS,
198,CHICKEN 5 STRIPS,
199,CHICKEN 8 STRIPS,
200,SUPER SHAKE OREO,
201,SUPER SHKE LOTUS,
202,SUPER SHKE FLAKE,
203,SUPER SHK SMARTI,
204,SUPR SHK KITKAT,
205,SPR TOFFE CRUNCH,
206,SPR CREAM EGG,
207,SUPER MINT AERO,
208,SUPER CHOC ORANG,
209,SUPER ETON MESS,
210,SUPER SHK ORE XL,
211,SPR SHK LOTUS XL,
212,SUP SHK FLAKE XL,
213,SPR SHK SMART XL,
214,SPR SH KITKAT XL,
215,SPR TOF CRNCH XL,
216,SPR CREAM EGG XL,
217,SPR MINT AERO XL,
260,SINGLE CONE,
261,DOUBLE CONE,
265,300ml TUB,
266,600ml TUB,
270,FLAKE STICK,
280,ICE CREAM TRAY,
301,CRUNCHIE BROWNIE,
302,KINDER BU BROWNE,
303,LOTUS BIS BROWNE,
304,MNT AERO BROWNIE,
305,SNICKERS BROWNIE,
994,CHICKEN WRAP PK,
