CODEALPH,ST_CODENUM,ITEM
A,2,FILLET from Kff
A,3,CHUNKS from Kff
A,5,Aviko 215031 9.5mm
A,8,BUNs Americana
A,9,CHEESE SLICES
A,10,BACON
A,11,APPLE PIE
A,12,TORTILA CasaSerano
A,13,ONION RING Bags 1k
A,15,MOZRELA single bag
A,21,COKE CLASSIC  CANS
A,22,DIET COKE CANS
A,23,TANGO ORANGE CANS
A,24,7UP LEMON CANS
A,25,BOTTLED WATER 500m
A,26,ICEBERG Tesco 89p
A,27,TOMATOES ( VINE )
A,28,RED ONIONS 10 kgs
A,29,PEELD GARLIC 600pt
A,33,PINEAPPLE SLICES
A,35,CHILLI SAUCE
A,36,MAYONNAISE
A,37,KETCHUP CHOICE UKY
A,40,THOUSAND ISLAND
A,41,FRENCH'S MUSTARD
A,44,DILL cucumbers
A,45,BBQ 
A,47,JERSEY THICKSHAKE
A,48,QUORN BACON
A,49,TOFFEE FLAVOUR
A,50,BANANA FLAVOUR
A,51,CHOCOLATE FLAVOUR
A,52,STRAWBERRY FLAVOUR
A,53,MEAT Kff del green
A,57,SALT SACHET
A,63,KV VEGGIE BURGER
A,64,KV SPICYBEANBURGER
A,65,COKE CLASSIC 500ml
A,66,DIET COKE 500ml
A,67,TANGO ORANGE 500ml
A,68,7UP LEMON 500ml
A,79,BLUE CHEESE WEDGE
A,102,LOTUS BISCOF SAUCE
B,1,BROWN SAMS CARRIER
B,2,WHITE Carrier Med 
B,4,WHTE CAR Lg 304472
B,5,SERVIETTES
B,6,HAMBURGR BAG
B,8,CHEESEBRG BAG 3.17
B,10,CHILIBRGR BAG 3.17
B,13,CHICKEN SPECIAL BG
B,14,BACON BAG
B,15,VEGGIE SPECIAL BAG
B,16,PLAIN BAGS 2.65gms
B,17,ALLSTAR BAG 3.17g
B,18,BIGGEST BAG 3.77gm
B,19,BURGER CHOICE BAG
B,20,FRY BAG RED JULEN
B,22,FRY BAG YELOW JULN
B,24,PLATTER BOXES 2x50
B,26,FOIL BACKED SHEETS
B,30,LIDS REGR 80m 1.4g
B,32,CUPS KIDS in tubes
B,33,CUPS REG 0.3L 
B,35,LIDS LARGE 90mm
B,36,CUPS LARGE 0.4L
B,40,SPR JUMBO STRAW
B,44,DIP POTS GP 1.082g
B,45,DIP LIDS GP 0.568g
C,14,DEEPIO (6kgs) 150
C,29,DUSTBIN LINERS
C,31,KITCHEN TOWELS
C,41,SILVER FOIL
C,42,CANOPY FILTERS
E,1,SPONGE CLOTHS
E,2,SCOURER heavy duty
E,3,STEEL WIRE SCOURER
E,4,3M PURPLE SCOURERS
E,5,DISPOSABLE GLOVES
E,8,HEAT PROOF GLOVES
G,4,A4 LASER PAPER
G,5,MASKING TAPE CREAM
G,6,CARD MC ROLL 57x40
G,7,PRIME-JEat T Rolls
G,8,CHINA MARKER PENS
G,16,TRAY LINER 'TRAIN'
H,4,MOP HEAD BLUE smal
H,5,MOP HANDLE SYR
H,6,MOP WRING-BKT UNIT
K,4,PLASTIC SPATULA
K,15,POLYC 1/4 drainer
K,16,POLYCARBO 1/4 POTS
K,17,POLYCARBO 1/6 POTS
K,18,POLYCARBO 1/9 POTS
K,19,LID for  POLYC 1/4
K,20,LID for  POLYC 1/6
K,21,LID for  POLYC 1/9
K,22,FRY BAGGING SCOOP
K,30,FRY BASK'VAL V200
L,1,CHUTES LAMP 300wat
L,2,FRYER LAMP 500watt
L,12,LAMP-UV F8W/BL350
L,13,UV-STARTER 4-22wat
N,1,BUN SHEETS 320x290
N,4,BURNER BOX upper
N,6,BURNER BOX lower
N,7,"MEAT SHEET 24""x18"""
N,8,REVERBERATOR
N,9,PROTECTIVE SHIELD
N,10,ROD BELT 424 51 Lk
N,11,SCR CONTROLLER
N,14,MOTOR BRUSHES
N,15,CONTACTOR PLATTEN
N,16,THERMOCOUPLE (ALL)
N,17,MOTOR TRIP SWITCH
N,18,THERMOSTAT PLATTEN
N,19,NIECO GAS HOSE 1/2
N,20,NIECO MOTOR 240v
P,1,HL_L5100 TN3480
P,2,HL 5100 DRUM
P,12,CASH-DRAWER NEW
P,16,COIN COUNTING SCAL
R,1,EQUIP SERVICE £35
R,2,COMPUTER EXCHANGE
R,3,ACCOUNTS CHARGE
R,4,HO REPAIR p/h
R,5,PAPERWORK CORECT'N
R,6,FROZEN HANDLING CH
T,3,FRZ THERM ROUND
Z,1,Goods £1.00 Vated
Z,2,Goods £1.00 NonVat
Z,3,CREDIT £1.00 nonvt
Z,4,CREDIT £1.00 Vated
