PRODNUMB,PRODNAME,ITEM_DESC,SEQ_ORDER
73,FRIES to LRG 45p,FRIES to LRG 45p,1
0,,goLarge,2
0,,Shake Instead,3
0,,Kids Shake Instead,4
45,  XTR CHEEZ,  XTR CHEEZ,5
33,  XTR CHICkN 255,  XTR CHICkN 255,6
34,  XTR VEGGIE,  XTR VEGGIE,7
14,  XTR MEAT,  XTR MEAT,8
41,  XTR MAYO,  XTR MAYO,9
100,  XTR BBQ,  XTR BBQ,10
42,  XTR CHILLI,  XTR CHILLI,11
37,  XTR GARLIC MAY,  XTR GARLIC MAY,12
38,  XTR PINAPL,  XTR PINAPL,13
36,  XTR BACON,  XTR BACON,14
107,  XTR VGBACN,  XTR VGBACN,15
77,BLT SAMWICH,BLT SAMWICH,16
