PRODNUMB,PRODNAME,EAT_VAT_CLASS,TAKE_VAT_CLASS,READBACK_ORD,MEAL_ONLY,MEAL_CODE,MEAL_DRINK,T_DRINK_CD,VATPR,DC_VATPR,VATPR_2,DC_VATPR_2,VATPR_3,DC_VATPR_3,VATPR_4,DC_VATPR_4,VATPR_5,DC_VATPR_5,VATPR_6,DC_VATPR_6
1,HAMBURGER,1,1,9,False,1,0,0,510,510,510,510,660,660,620,620,500,500,645,645
2,DBL HAMBURGER,1,1,11,False,1,0,0,755,755,755,755,975,975,920,920,740,740,955,955
3,CHEESEBURGER,1,1,12,False,1,0,0,550,550,550,550,710,710,670,670,535,535,695,695
4,DBL CHEESEBURGR,1,1,15,False,1,0,0,795,795,795,795,1025,1025,970,970,775,775,1005,1005
5,CHILLIBURGER,1,1,24,False,1,0,0,550,550,550,550,710,710,670,670,535,535,695,695
6,DBL CHILLIBURGER,1,1,25,False,1,0,0,795,795,795,795,1025,1025,970,970,775,775,1005,1005
7,ORIGINAL,1,1,2,False,1,0,0,550,550,550,550,710,710,670,670,535,535,695,695
8,DBL ORIGINAL,1,1,3,False,1,0,0,795,795,795,795,1025,1025,970,970,775,775,1005,1005
9,BLUECHEESE BGR,1,1,30,False,1,0,0,635,635,635,635,820,820,770,770,620,620,805,805
10,DBL BLUE CHSEBGR,1,1,31,False,1,0,0,880,880,880,880,1135,1135,1070,1070,860,860,1115,1115
11,VEGGIE BURGER,1,1,38,False,1,0,0,530,530,530,530,685,685,645,645,515,515,670,670
12,  VEGGIE instead,1,1,38,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,KIDS HAMBURGER,1,1,8,True,2,0,0,350,350,350,350,450,450,425,425,340,340,445,445
14,  XTR MEAT,1,1,0,False,0,0,0,245,245,245,245,315,315,300,300,240,240,310,310
15,GARLIC BURGER,1,1,26,False,1,0,0,550,550,550,550,710,710,670,670,535,535,695,695
16,DBL GARLIC BGR,1,1,27,False,1,0,0,795,795,795,795,1025,1025,970,970,775,775,1005,1005
