REC_ID,PRICE_ID,SUPPLIER_NAME,PRICE_SUB_ID,SEQ_ORDER,SUPPLIER_CODE,APPLY_HERE,PARENT_ID,ACC_FIRM_NUM,ACCEPT_CASH,ACCEPT_CARD,ACCEPT_ONACC,ACCEPT_VOUCHER,ACCEPT_CREW_FOOD,ACCEPT_COOKED_WASTE,DELIV_SUPPLIER,HOT_DRINK
1,1,Standard,1,1,OT-C,1,1,0,1,1,0,1,1,1,0,1
2,2,Sams online - Collect,1,22,SO-C,1,7,1,0,0,1,0,0,0,0,1
4,2,Phone Order - Collect,3,15,PO-C,1,6,0,1,1,0,0,0,0,0,1
8,3,Deliveroo - Deliver,1,8,DV-D,1,2,5,0,0,1,0,0,0,1,0
9,3,Deliveroo - Collect,2,19,DV-C,1,2,5,0,0,1,0,0,0,0,1
13,4,Phone Order (B) - Deliver,4,13,PB-D,1,10,0,1,0,0,0,0,0,1,0
14,4,YoYo (B) - Deliver,5,11,YB-D,1,12,7,1,0,1,0,0,0,1,0
17,6,Just Eat - Deliver,1,6,JE-D,1,3,4,1,0,1,0,0,0,1,0
18,6,Just Eat - Collect,2,21,JE-C,1,3,4,1,1,1,0,0,0,0,1
19,6,UBER - Collect,3,18,UB-C,1,5,8,0,0,1,0,0,0,0,1
20,6,UBER - Deliver,4,7,UB-D,1,5,8,0,0,1,0,0,0,1,0
