"PRODNUMB","PRODNAME","NAME_ON_MENU","COOK_ZONE","PROD_DESC"
"1","HAMBURGER","Hamburger","1","100% beef patty with freshly cut lettuce"
"2","DBL HAMBURGER","Double Hamburger","1","Two 100% beef patties with freshly cut lettuce"
"3","CHEESEBURGER","Cheeseburger","1","100% beef patty topped with cheese"
"4","DBL CHEESEBURGR","Double Cheeseburger","1","Two 100% beef patties topped with cheese"
"5","CHILLIBURGER","Chilliburger","1","100% beef patty with our famous home-made chilli sauce"
"6","DBL CHILLIBURGER","Double Chilliburger","1","Two 100% beef patties with our famous home-made chilli sauce"
"7","ORIGINAL","Original","1","100% beef patty with freshly cut lettuce"
"8","DBL ORIGINAL","Double Original","1","Two 100% beef patties with freshly cut lettuce"
"9","BLUECHEESE BGR","Bluecheese Burger","1","100% beef patty topped with real blue cheese"
"10","DBL BLUE CHSEBGR","Double Bluecheese Burger","1","Two 100% beef patties topped with real blue cheese"
"11","VEGGIE BURGER","Veggie Burger","3","Veggie patty with freshly cut lettuce"
"12","VEGGIE instead","Veggie Patty Instead","3","Replace the patty in a beef or chicken burger with a vegetarian alternative."
"13","KIDS HAMBURGER","Kids Hamburger","1","100% beef patty with ketchup served in a toasted sesame seed bun."
"14","XTR MEAT","Beef Patty","1",""
"15","GARLIC BURGER","Garlic Burger","1","100% beef patty with home-made garlic mayonnaise"
"16","DBL GARLIC BGR","Double Garlic Burger","1","Two 100% beef patties with home-made garlic mayonnaise"
"17","HAWAIIAN BURGER","Hawaiian Burger","1","100% beef patty topped with grilled pineapple"
"18","DBL HAWAIIAN BGR","Double Hawaiian Burger","1","Two 100% beef patties topped with grilled pineapple"
"19","CHICKEN SAMWICH","Chicken Samwich","3","Crispy coated chicken fillet with freshly cut lettuce"
"20","ALLSTAR BURGER","Allstar Burger","1","100% beef patty topped with cheese"
"21","DBL ALLSTAR BGR","Double Allstar Burger","1","Two 100% beef patties topped with cheese"
"22","1000 ISLAND BGR","1000 Island Burger","1","100% beef patty topped with thousand island sauce"
"23","DBL CHILI n CHSE","Double Chilli 'n' Cheese","1","Two 100% beef patties with our famous home-made chilli sauce"
"24","XMAS CHICKN SAMW","Feastive Chicken","3","Crispy coated chicken fillet with freshly cut lettuce"
"25","BACON CHEESE BGR","Bacon Cheeseburger","1","100% beef patty topped with smokey bacon"
"26","DIP KETCHUP","Ketchup Dip","0","Ketchup Dip"
"27","DIP MAYO","Mayonnaise Dip","0","Mayonnaise Dip"
"28","DIP CHILLI","Chilli Sauce Dip","0","Our famous home-made chilli sauce - very hot!"
"29","DIP GARLC MAYO","Garlic Mayonnaise Dip","0","Home-made garlic mayonnaise."
"30","REGULAR FRIES","Regular Fries","3","Crispy french fries cooked fresh for every order."
"31","LARGE FRIES","Large Fries","3","Crispy french fries cooked fresh for every order."
"32","CHICKEN ALLSTAR","Chicken Allstar","3","Crispy coated chicken fillet topped with cheese"
"33","XTR CHICkN","Chicken Fillet","3",""
"34","XTR VEGGIE","Veggie Patty","3",""
"35","KIDS CHEESE-BGR","Kids Cheese Burger","1","100% beef patty topped with cheese & ketchup served in a toasted sesame seed bun."
"36","XTR BACON","Bacon","3",""
"37","XTR GARLIC MAY","Garlic Mayonnaise","0",""
"38","XTR PINAPL","Grilled Pineapple","0",""
"39","DIP BBQ","BBQ Dip","0","BBQ Dip"
"40","XTR KETCH","Ketchup","0",""
"41","XTR MAYO","Mayonnaise","0",""
"42","XTR CHILLI","Chilli Sauce","0",""
"43","XTR MISC 25p ","Misc 25p","0",""
"44","VEGIE SALAD SAMW","Veggie Salad Samwich","1","Double cheese"
"45","XTR CHEEZ","Cheese","0",""
"46","XTR MISC 10p","Misc 10p","0",""
"47","XTR BLUE","Bluecheese Sauce","0",""
"48","CHICKEN CHILLI","Chicken Chilli","3","Crispy coated chicken fillet topped with our famous home-made chilli sauce"
"49","COLA","Cola","2","Cola"
"50","LRG COLA","Large Cola","2","Large Cola"
"51","COKE CLASSIC CAN","Coca Cola Can (330ml)","2","Coca Cola Can (330ml)"
"52","TANGO CAN","Tango Can (330ml)","2","Tango Can (330ml)"
"53","DIET COKE CAN","Diet Coke Can (330ml)","2","Diet Coke Can (330ml)"
"54","DBL BACON CHEESE","Double Bacon Cheeseburger","1","Two 100% beef patties topped with smokey bacon"
"55","OUR BIGGEST BGR","Our Biggest Burger","1","Two 100% beef patties topped with smokey bacon"
"56","FIZZY ORANGE","Fizzy Orange","2","Fizzy Orange"
"57","LRG ORANGE","Large Fizzy Orange","2","Large Fizzy Orange"
"58","DIET COLA","Diet Cola","2","Diet Cola"
"59","LGR DIET COLA","Large Diet Cola","2","Large Diet Cola"
"60","BANANA SHAKE","Banana Thick Shake","2","Our classic real dairy thickshake"
"61","CHOCOLATE SHAKE","Chocolate Thick Shake","2","Our classic real dairy thickshake"
"62","STRAWBERRY SHK","Strawberry Thick Shake","2","Our classic real dairy thickshake"
"64","VEGGIE BACN SAM","Veggie Bacon Samwich","3","Veggie bacon"
"65","TEXAN BURGER","Texan Burger","1","100% beef patty topped with three crispy onion rings"
"66","BANANA SHK LARGE","Large Banana Thick Shake","2","Our classic real dairy thickshake"
"67","CHOC SHK LARGE","Large Chocolate Thick Shake","2","Our classic real dairy thickshake"
"68","STRAW SHK LARGE","Large Strawberry Thick Shake","2","Our classic real dairy thickshake"
"69","VANILLA SHAKE","Vanilla Thick Shake","2","Our classic real dairy thickshake"
"70","VANILLA SK LARGE","Large Vanilla Thick Shake","2","Our classic real dairy thickshake"
"71","SIX  BITES","Six Chicken Bites","3","Crispy coated chicken bites. Served with your choice of dip."
"72","NINE BITES","Nine Chicken Bites","3","Crispy coated chicken bites. Served with your choice of dip."
"73","FRIES Lrg Go Lrg","Go Large Fries Only","3",""
"74","HALLOUMI STICKS","Halloumi Sticks","3","4x Fried Halloumi sticks"
"75","7UP LEMON CAN","7up Can (330ml)","2","7up Can (330ml)"
"76","CHOC SHKE KIDS","Small Chocolate Thick Shake","2","Our classic real dairy thickshake"
"77","BLT SAMWICH","BLT Samwich","3","Bacon (x2)"
"78","CHICKEN EL FUEGO","Chicken El Fuego","3","Crispy coated chicken fillet topped with three crispy onion rings"
"79","Pepper Burger","","1",""
"80","MUSHROOM","Mushroom","0",""
"81","HOT APPLE PIE","Hot Apple Pie","3","Crispy pastry with a delicious sweet apple filling."
"82","ONION RINGS 8","Regular Onion Rings","3","8 crispy battered onion rings."
"83","BEAN BURGER","Spicy Bean Burger","3","Spicy bean patty with freshly cut lettuce"
"84","BANANA SHKE KIDS","Small Banana Thick Shake","2","Our classic real dairy thickshake"
"85","STRAWB SHKE KIDS","Small Strawberry Thick Shake","2","Our classic real dairy thickshake"
"86","VANILLA SHK KIDS","Small Vanilla Thick Shake","2","Our classic real dairy thickshake"
"87","COFFEE     165","Coffee","2","Coffee"
"89","COLA KIDS","Small Cola","2","Small Cola"
"90","CHICKEN BACN CHS","Chicken Bacon Cheese","3","Crispy coated chicken fillet with bacon"
"91","BOTTLED WATER","Bottled Water (500ml)","2","Bottled Water (500ml)"
